Media Source,Date,Text,Compound score,Negative,Neutral,Positive,Tweets Ago
BBC,Tue Jul 31 20:02:08 +0000 2018,"The story of a young girl's choice between Oxford and the university of life...

#AnEducation | 10pm | @BBCFour |… https://t.co/TCSjXsn02B",0.0,0.0,1.0,0.0,0
BBC,Tue Jul 31 19:01:03 +0000 2018,"Drama series telling the story of a dysfunctional family, set within a family-run beauty salon.

Age Before Beauty… https://t.co/axP5dYrHMA",0.5859,0.0,0.808,0.192,1
BBC,Tue Jul 31 18:02:06 +0000 2018,How Australia's first gay imam is 'saving lives'. https://t.co/u2QmgRGHCM,0.0,0.0,1.0,0.0,2
BBC,Tue Jul 31 16:33:01 +0000 2018,"RT @bbcwritersroom: Writer Debbie Horsfield's new @BBCOne drama #AgeBeforeBeauty begins tonight (Tue 31 July) at 9pm. 

We caught up with D…",0.0,0.0,1.0,0.0,3
BBC,Tue Jul 31 16:01:02 +0000 2018,"The Old Bridge in Mostar is one of Bosnia-Herzegovina's most famous landmarks. 

But does it connect or divide the… https://t.co/lycdJ43HRh",0.0,0.0,1.0,0.0,4
BBC,Tue Jul 31 15:19:43 +0000 2018,"RT @bbcmusic: ""Hopefully my little messages for train passengers will be a nice surprise and a reminder of the power of music as they go ab…",0.765,0.0,0.734,0.266,5
BBC,Tue Jul 31 14:02:05 +0000 2018,"Congratulations John! 🎓 A 95-year-old man has graduated from Oxford University, 76 years after he completed his deg… https://t.co/Mjv2UU11be",0.636,0.0,0.792,0.208,6
BBC,Tue Jul 31 13:00:23 +0000 2018,"Have you ever spotted hidden messages in the Harry Potter films?
#HappyBirthdayHarryPotter https://t.co/LQa8z7fVRz",0.0,0.0,1.0,0.0,7
BBC,Tue Jul 31 11:41:04 +0000 2018,"RT @BBCEarth: In formation 🙌

Let's celebrate all the men and women protecting our planet's wildlife 😍
#WorldRangerDay https://t.co/LFQw4w8…",0.5719,0.0,0.812,0.188,8
BBC,Tue Jul 31 11:38:00 +0000 2018,"Tunnelling work is almost set to begin on London's new super sewer.
But before it can start, some very important th… https://t.co/MNGD6aJkbt",0.7178,0.0,0.769,0.231,9
BBC,Tue Jul 31 11:07:35 +0000 2018,"An Australian family has been startled awake after a kangaroo crashed its way through a window in their home.
👉… https://t.co/5YbVtCndEt",-0.1779,0.086,0.914,0.0,10
BBC,Tue Jul 31 09:50:02 +0000 2018,"Watch Leading Lady Parts on @BBCiPlayer 👉 https://t.co/cUPHKLfMfy

#LeadingLadyParts",0.0,0.0,1.0,0.0,11
